[generate_armor] material=Leather, rarity=common, item_type=helmet
[generate_armor] material=Copper, rarity=legendary, item_type=chestplate
  base_armor=3, armor_mult=6, armor_val=18
  base_hp=4, hp_mult=12, hp_val=48
[generate_armor] material=Copper, rarity=legendary, item_type=leggings
  base_armor=3, armor_mult=6, armor_val=18
  base_hp=4, hp_mult=12, hp_val=48
[generate_armor] material=Copper, rarity=legendary, item_type=boots
  base_armor=3, armor_mult=6, armor_val=18
  base_hp=4, hp_mult=12, hp_val=48
[generate_armor] material=Iron, rarity=common, item_type=helmet
  base_armor=4, armor_mult=1, armor_val=4
  base_hp=5, hp_mult=1, hp_val=5
[generate_armor] material=Iron, rarity=common, item_type=chestplate
  base_armor=4, armor_mult=1, armor_val=4
  base_hp=5, hp_mult=1, hp_val=5
[generate_armor] material=Iron, rarity=common, item_type=leggings
  base_armor=4, armor_mult=1, armor_val=4
  base_hp=5, hp_mult=1, hp_val=5
[generate_armor] material=Iron, rarity=common, item_type=boots
  base_armor=4, armor_mult=1, armor_val=4
  base_hp=5, hp_mult=1, hp_val=5
[generate_armor] material=Iron, rarity=uncommon, item_type=helmet
  base_armor=4, armor_mult=1, armor_val=4
  base_hp=5, hp_mult=2, hp_val=10
[generate_armor] material=Iron, rarity=uncommon, item_type=chestplate
  base_armor=4, armor_mult=1, armor_val=4
  base_hp=5, hp_mult=2, hp_val=10
[generate_armor] material=Iron, rarity=uncommon, item_type=leggings
  base_armor=4, armor_mult=1, armor_val=4
  base_hp=5, hp_mult=2, hp_val=10
[generate_armor] material=Iron, rarity=uncommon, item_type=boots
  base_armor=4, armor_mult=1, armor_val=4
  base_hp=5, hp_mult=2, hp_val=10
[generate_armor] material=Iron, rarity=rare, item_type=helmet
  base_armor=4, armor_mult=2, armor_val=8
  base_hp=5, hp_mult=3, hp_val=15
[generate_armor] material=Iron, rarity=rare, item_type=chestplate
  base_armor=4, armor_mult=2, armor_val=8
  base_hp=5, hp_mult=3, hp_val=15
[generate_armor] material=Iron, rarity=rare, item_type=leggings
  base_armor=4, armor_mult=2, armor_val=8
  base_hp=5, hp_mult=3, hp_val=15
[generate_armor] material=Iron, rarity=rare, item_type=boots
  base_armor=4, armor_mult=2, armor_val=8
  base_hp=5, hp_mult=3, hp_val=15
[generate_armor] material=Iron, rarity=epic, item_type=helmet
  base_armor=4, armor_mult=3, armor_val=12
  base_hp=5, hp_mult=5, hp_val=25
[generate_armor] material=Iron, rarity=epic, item_type=chestplate
  base_armor=4, armor_mult=3, armor_val=12
  base_hp=5, hp_mult=5, hp_val=25
[generate_armor] material=Iron, rarity=epic, item_type=leggings
  base_armor=4, armor_mult=3, armor_val=12
  base_hp=5, hp_mult=5, hp_val=25
[generate_armor] material=Iron, rarity=epic, item_type=boots
  base_armor=4, armor_mult=3, armor_val=12
  base_hp=5, hp_mult=5, hp_val=25
[generate_armor] material=Iron, rarity=legendary, item_type=helmet
  base_armor=4, armor_mult=5, armor_val=20
  base_hp=5, hp_mult=10, hp_val=50
[generate_armor] material=Iron, rarity=legendary, item_type=chestplate
  base_armor=4, armor_mult=5, armor_val=20
  base_hp=5, hp_mult=10, hp_val=50
[generate_armor] material=Iron, rarity=legendary, item_type=leggings
  base_armor=4, armor_mult=5, armor_val=20
  base_hp=5, hp_mult=10, hp_val=50
[generate_armor] material=Iron, rarity=legendary, item_type=boots
  base_armor=4, armor_mult=5, armor_val=20
  base_hp=5, hp_mult=10, hp_val=50
[generate_armor] material=Silver, rarity=common, item_type=helmet
  base_armor=5, armor_mult=1, armor_val=5
  base_hp=7, hp_mult=1, hp_val=7
[generate_armor] material=Silver, rarity=common, item_type=chestplate
  base_armor=5, armor_mult=1, armor_val=5
  base_hp=7, hp_mult=1, hp_val=7
[generate_armor] material=Silver, rarity=common, item_type=leggings
  base_armor=5, armor_mult=1, armor_val=5
  base_hp=7, hp_mult=1, hp_val=7
[generate_armor] material=Silver, rarity=common, item_type=boots
  base_armor=5, armor_mult=1, armor_val=5
  base_hp=7, hp_mult=1, hp_val=7
[generate_armor] material=Silver, rarity=uncommon, item_type=helmet
  base_armor=5, armor_mult=1, armor_val=5
  base_hp=7, hp_mult=2, hp_val=14
[generate_armor] material=Silver, rarity=uncommon, item_type=chestplate
  base_armor=5, armor_mult=1, armor_val=5
  base_hp=7, hp_mult=2, hp_val=14
[generate_armor] material=Silver, rarity=uncommon, item_type=leggings
  base_armor=5, armor_mult=1, armor_val=5
  base_hp=7, hp_mult=2, hp_val=14
[generate_armor] material=Silver, rarity=uncommon, item_type=boots
  base_armor=5, armor_mult=1, armor_val=5
  base_hp=7, hp_mult=2, hp_val=14
[generate_armor] material=Silver, rarity=rare, item_type=helmet
  base_armor=5, armor_mult=2, armor_val=10
  base_hp=7, hp_mult=3, hp_val=21
[generate_armor] material=Silver, rarity=rare, item_type=chestplate
  base_armor=5, armor_mult=2, armor_val=10
  base_hp=7, hp_mult=3, hp_val=21
[generate_armor] material=Silver, rarity=rare, item_type=leggings
  base_armor=5, armor_mult=2, armor_val=10
  base_hp=7, hp_mult=3, hp_val=21
[generate_armor] material=Silver, rarity=rare, item_type=boots
  base_armor=5, armor_mult=2, armor_val=10
  base_hp=7, hp_mult=3, hp_val=21
[generate_armor] material=Silver, rarity=epic, item_type=helmet
  base_armor=5, armor_mult=3, armor_val=15
  base_hp=7, hp_mult=4, hp_val=28
[generate_armor] material=Silver, rarity=epic, item_type=chestplate
  base_armor=5, armor_mult=3, armor_val=15
  base_hp=7, hp_mult=4, hp_val=28
[generate_armor] material=Silver, rarity=epic, item_type=leggings
  base_armor=5, armor_mult=3, armor_val=15
  base_hp=7, hp_mult=4, hp_val=28
[generate_armor] material=Silver, rarity=epic, item_type=boots
  base_armor=5, armor_mult=3, armor_val=15
  base_hp=7, hp_mult=4, hp_val=28
[generate_armor] material=Silver, rarity=legendary, item_type=helmet
  base_armor=5, armor_mult=4, armor_val=20
  base_hp=7, hp_mult=7, hp_val=49
[generate_armor] material=Silver, rarity=legendary, item_type=chestplate
  base_armor=5, armor_mult=4, armor_val=20
  base_hp=7, hp_mult=7, hp_val=49
[generate_armor] material=Silver, rarity=legendary, item_type=leggings
  base_armor=5, armor_mult=4, armor_val=20
  base_hp=7, hp_mult=7, hp_val=49
[generate_armor] material=Silver, rarity=legendary, item_type=boots
  base_armor=5, armor_mult=4, armor_val=20
  base_hp=7, hp_mult=7, hp_val=49
[generate_armor] material=Diamond, rarity=common, item_type=helmet
  base_armor=6, armor_mult=1, armor_val=6
  base_hp=9, hp_mult=1, hp_val=9
[generate_armor] material=Diamond, rarity=common, item_type=chestplate
  base_armor=6, armor_mult=1, armor_val=6
  base_hp=9, hp_mult=1, hp_val=9
[generate_armor] material=Diamond, rarity=common, item_type=leggings
  base_armor=6, armor_mult=1, armor_val=6
  base_hp=9, hp_mult=1, hp_val=9
[generate_armor] material=Diamond, rarity=common, item_type=boots
  base_armor=6, armor_mult=1, armor_val=6
  base_hp=9, hp_mult=1, hp_val=9
[generate_armor] material=Diamond, rarity=uncommon, item_type=helmet
  base_armor=6, armor_mult=1, armor_val=6
  base_hp=9, hp_mult=2, hp_val=18
[generate_armor] material=Diamond, rarity=uncommon, item_type=chestplate
  base_armor=6, armor_mult=1, armor_val=6
  base_hp=9, hp_mult=2, hp_val=18
[generate_armor] material=Diamond, rarity=uncommon, item_type=leggings
  base_armor=6, armor_mult=1, armor_val=6
  base_hp=9, hp_mult=2, hp_val=18
[generate_armor] material=Diamond, rarity=uncommon, item_type=boots
  base_armor=6, armor_mult=1, armor_val=6
  base_hp=9, hp_mult=2, hp_val=18
[generate_armor] material=Diamond, rarity=rare, item_type=helmet
  base_armor=6, armor_mult=2, armor_val=12
  base_hp=9, hp_mult=2, hp_val=18
[generate_armor] material=Diamond, rarity=rare, item_type=chestplate
  base_armor=6, armor_mult=2, armor_val=12
  base_hp=9, hp_mult=2, hp_val=18
[generate_armor] material=Diamond, rarity=rare, item_type=leggings
  base_armor=6, armor_mult=2, armor_val=12
  base_hp=9, hp_mult=2, hp_val=18
[generate_armor] material=Diamond, rarity=rare, item_type=boots
  base_armor=6, armor_mult=2, armor_val=12
  base_hp=9, hp_mult=2, hp_val=18
[generate_armor] material=Diamond, rarity=epic, item_type=helmet
  base_armor=6, armor_mult=2, armor_val=12
  base_hp=9, hp_mult=3, hp_val=27
[generate_armor] material=Diamond, rarity=epic, item_type=chestplate
  base_armor=6, armor_mult=2, armor_val=12
  base_hp=9, hp_mult=3, hp_val=27
[generate_armor] material=Diamond, rarity=epic, item_type=leggings
  base_armor=6, armor_mult=2, armor_val=12
  base_hp=9, hp_mult=3, hp_val=27
[generate_armor] material=Diamond, rarity=epic, item_type=boots
  base_armor=6, armor_mult=2, armor_val=12
  base_hp=9, hp_mult=3, hp_val=27
[generate_armor] material=Diamond, rarity=legendary, item_type=helmet
  base_armor=6, armor_mult=4, armor_val=24
  base_hp=9, hp_mult=6, hp_val=54
[generate_armor] material=Diamond, rarity=legendary, item_type=chestplate
  base_armor=6, armor_mult=4, armor_val=24
  base_hp=9, hp_mult=6, hp_val=54
[generate_armor] material=Diamond, rarity=legendary, item_type=leggings
  base_armor=6, armor_mult=4, armor_val=24
  base_hp=9, hp_mult=6, hp_val=54
[generate_armor] material=Diamond, rarity=legendary, item_type=boots
  base_armor=6, armor_mult=4, armor_val=24
  base_hp=9, hp_mult=6, hp_val=54
[generate_armor] material=Titanium, rarity=common, item_type=helmet
  base_armor=7, armor_mult=1, armor_val=7
  base_hp=11, hp_mult=1, hp_val=11
[generate_armor] material=Titanium, rarity=common, item_type=chestplate
  base_armor=7, armor_mult=1, armor_val=7
  base_hp=11, hp_mult=1, hp_val=11
[generate_armor] material=Titanium, rarity=common, item_type=leggings
  base_armor=7, armor_mult=1, armor_val=7
  base_hp=11, hp_mult=1, hp_val=11
[generate_armor] material=Titanium, rarity=common, item_type=boots
  base_armor=7, armor_mult=1, armor_val=7
  base_hp=11, hp_mult=1, hp_val=11
[generate_armor] material=Titanium, rarity=uncommon, item_type=helmet
  base_armor=7, armor_mult=1, armor_val=7
  base_hp=11, hp_mult=1, hp_val=11
[generate_armor] material=Titanium, rarity=uncommon, item_type=chestplate
  base_armor=7, armor_mult=1, armor_val=7
  base_hp=11, hp_mult=1, hp_val=11
[generate_armor] material=Titanium, rarity=uncommon, item_type=leggings
  base_armor=7, armor_mult=1, armor_val=7
  base_hp=11, hp_mult=1, hp_val=11
[generate_armor] material=Titanium, rarity=uncommon, item_type=boots
  base_armor=7, armor_mult=1, armor_val=7
  base_hp=11, hp_mult=1, hp_val=11
[generate_armor] material=Titanium, rarity=rare, item_type=helmet
  base_armor=7, armor_mult=2, armor_val=14
  base_hp=11, hp_mult=2, hp_val=22
[generate_armor] material=Titanium, rarity=rare, item_type=chestplate
  base_armor=7, armor_mult=2, armor_val=14
  base_hp=11, hp_mult=2, hp_val=22
[generate_armor] material=Titanium, rarity=rare, item_type=leggings
  base_armor=7, armor_mult=2, armor_val=14
  base_hp=11, hp_mult=2, hp_val=22
[generate_armor] material=Titanium, rarity=rare, item_type=boots
  base_armor=7, armor_mult=2, armor_val=14
  base_hp=11, hp_mult=2, hp_val=22
[generate_armor] material=Titanium, rarity=epic, item_type=helmet
  base_armor=7, armor_mult=2, armor_val=14
  base_hp=11, hp_mult=3, hp_val=33
[generate_armor] material=Titanium, rarity=epic, item_type=chestplate
  base_armor=7, armor_mult=2, armor_val=14
  base_hp=11, hp_mult=3, hp_val=33
[generate_armor] material=Titanium, rarity=epic, item_type=leggings
  base_armor=7, armor_mult=2, armor_val=14
  base_hp=11, hp_mult=3, hp_val=33
[generate_armor] material=Titanium, rarity=epic, item_type=boots
  base_armor=7, armor_mult=2, armor_val=14
  base_hp=11, hp_mult=3, hp_val=33
[generate_armor] material=Titanium, rarity=legendary, item_type=helmet
  base_armor=7, armor_mult=3, armor_val=21
  base_hp=11, hp_mult=5, hp_val=55
[generate_armor] material=Titanium, rarity=legendary, item_type=chestplate
  base_armor=7, armor_mult=3, armor_val=21
  base_hp=11, hp_mult=5, hp_val=55
[generate_armor] material=Titanium, rarity=legendary, item_type=leggings
  base_armor=7, armor_mult=3, armor_val=21
  base_hp=11, hp_mult=5, hp_val=55
[generate_armor] material=Titanium, rarity=legendary, item_type=boots
  base_armor=7, armor_mult=3, armor_val=21
  base_hp=11, hp_mult=5, hp_val=55
[generate_armor] material=Cobalt, rarity=common, item_type=helmet
  base_armor=8, armor_mult=1, armor_val=8
  base_hp=15, hp_mult=1, hp_val=15
[generate_armor] material=Cobalt, rarity=common, item_type=chestplate
  base_armor=8, armor_mult=1, armor_val=8
  base_hp=15, hp_mult=1, hp_val=15
[generate_armor] material=Cobalt, rarity=common, item_type=leggings
  base_armor=8, armor_mult=1, armor_val=8
  base_hp=15, hp_mult=1, hp_val=15
[generate_armor] material=Cobalt, rarity=common, item_type=boots
  base_armor=8, armor_mult=1, armor_val=8
  base_hp=15, hp_mult=1, hp_val=15
[generate_armor] material=Cobalt, rarity=uncommon, item_type=helmet
  base_armor=8, armor_mult=1, armor_val=8
  base_hp=15, hp_mult=1, hp_val=15
[generate_armor] material=Cobalt, rarity=uncommon, item_type=chestplate
  base_armor=8, armor_mult=1, armor_val=8
  base_hp=15, hp_mult=1, hp_val=15
[generate_armor] material=Cobalt, rarity=uncommon, item_type=leggings
  base_armor=8, armor_mult=1, armor_val=8
  base_hp=15, hp_mult=1, hp_val=15
[generate_armor] material=Cobalt, rarity=uncommon, item_type=boots
  base_armor=8, armor_mult=1, armor_val=8
  base_hp=15, hp_mult=1, hp_val=15
[generate_armor] material=Cobalt, rarity=rare, item_type=helmet
  base_armor=8, armor_mult=2, armor_val=16
  base_hp=15, hp_mult=2, hp_val=30
[generate_armor] material=Cobalt, rarity=rare, item_type=chestplate
  base_armor=8, armor_mult=2, armor_val=16
  base_hp=15, hp_mult=2, hp_val=30
[generate_armor] material=Cobalt, rarity=rare, item_type=leggings
  base_armor=8, armor_mult=2, armor_val=16
  base_hp=15, hp_mult=2, hp_val=30
[generate_armor] material=Cobalt, rarity=rare, item_type=boots
  base_armor=8, armor_mult=2, armor_val=16
  base_hp=15, hp_mult=2, hp_val=30
[generate_armor] material=Cobalt, rarity=epic, item_type=helmet
  base_armor=8, armor_mult=2, armor_val=16
  base_hp=15, hp_mult=2, hp_val=30
[generate_armor] material=Cobalt, rarity=epic, item_type=chestplate
  base_armor=8, armor_mult=2, armor_val=16
  base_hp=15, hp_mult=2, hp_val=30
[generate_armor] material=Cobalt, rarity=epic, item_type=leggings
  base_armor=8, armor_mult=2, armor_val=16
  base_hp=15, hp_mult=2, hp_val=30
[generate_armor] material=Cobalt, rarity=epic, item_type=boots
  base_armor=8, armor_mult=2, armor_val=16
  base_hp=15, hp_mult=2, hp_val=30
[generate_armor] material=Cobalt, rarity=legendary, item_type=helmet
  base_armor=8, armor_mult=3, armor_val=24
  base_hp=15, hp_mult=4, hp_val=60
[generate_armor] material=Cobalt, rarity=legendary, item_type=chestplate
  base_armor=8, armor_mult=3, armor_val=24
  base_hp=15, hp_mult=4, hp_val=60
[generate_armor] material=Cobalt, rarity=legendary, item_type=leggings
  base_armor=8, armor_mult=3, armor_val=24
  base_hp=15, hp_mult=4, hp_val=60
[generate_armor] material=Cobalt, rarity=legendary, item_type=boots
  base_armor=8, armor_mult=3, armor_val=24
  base_hp=15, hp_mult=4, hp_val=60
[generate_armor] material=Magnite, rarity=common, item_type=helmet
  base_armor=9, armor_mult=1, armor_val=9
  base_hp=19, hp_mult=1, hp_val=19
[generate_armor] material=Magnite, rarity=common, item_type=chestplate
  base_armor=9, armor_mult=1, armor_val=9
  base_hp=19, hp_mult=1, hp_val=19
[generate_armor] material=Magnite, rarity=common, item_type=leggings
  base_armor=9, armor_mult=1, armor_val=9
  base_hp=19, hp_mult=1, hp_val=19
[generate_armor] material=Magnite, rarity=common, item_type=boots
  base_armor=9, armor_mult=1, armor_val=9
  base_hp=19, hp_mult=1, hp_val=19
[generate_armor] material=Magnite, rarity=uncommon, item_type=helmet
  base_armor=9, armor_mult=1, armor_val=9
  base_hp=19, hp_mult=1, hp_val=19
[generate_armor] material=Magnite, rarity=uncommon, item_type=chestplate
  base_armor=9, armor_mult=1, armor_val=9
  base_hp=19, hp_mult=1, hp_val=19
[generate_armor] material=Magnite, rarity=uncommon, item_type=leggings
  base_armor=9, armor_mult=1, armor_val=9
  base_hp=19, hp_mult=1, hp_val=19
[generate_armor] material=Magnite, rarity=uncommon, item_type=boots
  base_armor=9, armor_mult=1, armor_val=9
  base_hp=19, hp_mult=1, hp_val=19
[generate_armor] material=Magnite, rarity=rare, item_type=helmet
  base_armor=9, armor_mult=2, armor_val=18
  base_hp=19, hp_mult=2, hp_val=38
[generate_armor] material=Magnite, rarity=rare, item_type=chestplate
  base_armor=9, armor_mult=2, armor_val=18
  base_hp=19, hp_mult=2, hp_val=38
[generate_armor] material=Magnite, rarity=rare, item_type=leggings
  base_armor=9, armor_mult=2, armor_val=18
  base_hp=19, hp_mult=2, hp_val=38
[generate_armor] material=Magnite, rarity=rare, item_type=boots
  base_armor=9, armor_mult=2, armor_val=18
  base_hp=19, hp_mult=2, hp_val=38
[generate_armor] material=Magnite, rarity=epic, item_type=helmet
  base_armor=9, armor_mult=2, armor_val=18
  base_hp=19, hp_mult=2, hp_val=38
[generate_armor] material=Magnite, rarity=epic, item_type=chestplate
  base_armor=9, armor_mult=2, armor_val=18
  base_hp=19, hp_mult=2, hp_val=38
[generate_armor] material=Magnite, rarity=epic, item_type=leggings
  base_armor=9, armor_mult=2, armor_val=18
  base_hp=19, hp_mult=2, hp_val=38
[generate_armor] material=Magnite, rarity=epic, item_type=boots
  base_armor=9, armor_mult=2, armor_val=18
  base_hp=19, hp_mult=2, hp_val=38
[generate_armor] material=Magnite, rarity=legendary, item_type=helmet
  base_armor=9, armor_mult=3, armor_val=27
  base_hp=19, hp_mult=3, hp_val=57
[generate_armor] material=Magnite, rarity=legendary, item_type=chestplate
  base_armor=9, armor_mult=3, armor_val=27
  base_hp=19, hp_mult=3, hp_val=57
[generate_armor] material=Magnite, rarity=legendary, item_type=leggings
  base_armor=9, armor_mult=3, armor_val=27
  base_hp=19, hp_mult=3, hp_val=57
[generate_armor] material=Magnite, rarity=legendary, item_type=boots
  base_armor=9, armor_mult=3, armor_val=27
  base_hp=19, hp_mult=3, hp_val=57
[generate_armor] material=Netherite, rarity=common, item_type=helmet
  base_armor=10, armor_mult=1, armor_val=10
  base_hp=23, hp_mult=1, hp_val=23
[generate_armor] material=Netherite, rarity=common, item_type=chestplate
  base_armor=10, armor_mult=1, armor_val=10
  base_hp=23, hp_mult=1, hp_val=23
[generate_armor] material=Netherite, rarity=common, item_type=leggings
  base_armor=10, armor_mult=1, armor_val=10
  base_hp=23, hp_mult=1, hp_val=23
[generate_armor] material=Netherite, rarity=common, item_type=boots
  base_armor=10, armor_mult=1, armor_val=10
  base_hp=23, hp_mult=1, hp_val=23
[generate_armor] material=Netherite, rarity=uncommon, item_type=helmet
  base_armor=10, armor_mult=1, armor_val=10
  base_hp=23, hp_mult=1, hp_val=23
[generate_armor] material=Netherite, rarity=uncommon, item_type=chestplate
  base_armor=10, armor_mult=1, armor_val=10
  base_hp=23, hp_mult=1, hp_val=23
